space delimited xx xy xz yx yy yz zx zy zz Scale R G B
-5.9766 -60.302 -10.8928 -65.5206 -23.0881 -25.2372 -9.5073 -28.2399 56.2779 -4.299848 -0.400088 -0.033384 1.4 1.0 0.5 0.0
-0.7806 0.7215 0.2987 0.7215 1.3736 0.9829 0.2987 0.9829 -0.5929 -1.921142 0.003155 -0.159581 1.4 0.0 0.5 1.0
